municipio,br,km,tipo_acidente,causa_acidente,tracado_via,tipo_pista,fase_dia,condicao_metereologica,veiculos,pessoas,ilesos,feridos,feridos_graves,feridos_leves,mortos,ignorados
Nova Itarana,116,583.1,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Nublado,3,47,1,13,12,1,33,0
Descanso,282,639.4,Colisão Frontal,Velocidade Incompatível,Reta,Simples,Plena Noite,Ceu Claro,2,49,0,23,23,0,26,0
Guarapari,101,3434,Tombamento,Velocidade Incompatível,Curva,Simples,Pleno Dia,Nublado,4,43,0,22,9,13,21,0
Caninde,20,304.5,Saída De Pista,Outras,Curva,Simples,Pleno Dia,Ceu Claro,2,43,3,23,12,11,17,0
Curvelo,40,393.4,Colisão Frontal,Desobediência À Sinalização,Curva,Simples,Pleno Dia,Chuva,4,46,11,18,6,12,15,2
Guapimirim,116,102,Saída De Pista,Defeito Mecânico Em Veículo,Curva,Simples,Pleno Dia,Ceu Claro,3,32,2,15,15,0,15,0
Nova Laranjeiras,277,482.1,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Nevoeiro/Neblina,2,17,0,2,2,0,15,0
Ouro Preto Do Oeste,364,392.8,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ignorada,2,29,0,14,1,13,15,0
Descanso,282,630.2,Colisão Frontal,Desobediência À Sinalização,Curva,Simples,Plena Noite,Nublado,12,80,4,62,34,28,14,0
Estrela Do Norte,153,127,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Chuva,2,87,7,52,42,10,14,14
Padre Carvalho,251,361,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Amanhecer,Chuva,2,28,0,14,8,6,14,0
Sao Lourenco Da Serra,116,300,Saída De Pista,Dormindo,Curva,Duplicada,Plena Noite,Chuva,1,55,0,41,15,26,14,0
Fazenda Vilanova,386,371.5,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Chuva,2,37,0,24,5,19,13,0
Grao Mogol,251,4132,Colisão Frontal,Condutor Dormindo,Reta,Simples,Plena Noite,Céu Claro,6,80,28,39,6,33,13,0
Patos De Minas,365,380,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,19,0,6,2,4,13,0
Sao Mamede,230,302,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,4,19,2,3,1,2,13,1
Alem Paraiba,116,790.1,Saída De Pista,Outras,Curva,Simples,Plena Noite,Chuva,1,34,0,22,5,17,12,0
Acailandia,222,640,Saída De Pista,Falta De Atenção,Curva,Simples,Amanhecer,Nevoeiro/Neblina,1,42,0,4,4,0,11,27
Caravelas,101,896,Capotamento,Outras,Curva,Simples,Amanhecer,Nevoeiro/Neblina,1,30,0,19,19,0,11,0
Descanso,282,630.2,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Anoitecer,Nublado,3,47,1,35,22,13,11,0
General Carneiro,70,214,Tombamento,Dormindo,Curva,Simples,Plena Noite,Ceu Claro,1,49,2,35,18,17,11,1
Itaberaba,242,192.5,Colisão Lateral,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,2,27,5,10,3,7,11,1
Itajuba,459,159,Colisão Transversal,Outras,Curva,Simples,Plena Noite,Chuva,2,21,1,9,9,0,11,0
Mara Rosa,153,148.5,Colisão Lateral,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,4,32,3,12,4,8,11,6
Mimoso Do Sul,101,450,Derramamento De Carga,Carga Excessiva E/Ou Mal Acondicionada,Curva,Simples,Pleno Dia,Céu Claro,4,24,8,5,2,3,11,0
Nova Andradina,267,148.3,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Ceu Claro,2,13,0,2,0,2,11,0
Parnamirim,316,145,Colisão Frontal,Ingestão De Álcool,Reta,Simples,Pleno Dia,Ceu Claro,2,15,0,4,3,1,11,0
Petrolina,428,176.1,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,32,1,1,0,1,11,19
Santo Antonio Do Amparo,381,648.2,Capotamento,Defeito Mecânico Em Veículo,Reta,Duplicada,Pleno Dia,Ceu Claro,1,34,0,21,9,12,11,2
Sao Lourenco Da Mata,408,89,Colisão Lateral,Falta De Atenção,Reta,Simples,Pleno Dia,Chuva,2,26,0,14,14,0,11,1
Tiangua,222,304,Saída De Pista,Outras,Curva,Simples,Plena Noite,Nevoeiro/Neblina,1,44,0,33,18,15,11,0
Acailandia,222,640,Capotamento,Dormindo,Curva,Simples,Plena Noite,Nevoeiro/Neblina,1,38,2,23,10,13,10,3
Bom Jesus Das Selvas,222,550,Capotamento,Outras,Curva,Simples,Amanhecer,Ceu Claro,1,51,0,41,5,36,10,0
Campo Alegre De Goias,50,179.5,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Nublado,3,14,1,3,3,0,10,0
Catuji,116,219,Tombamento,Outras,Reta,Simples,Plena Noite,Nublado,2,39,0,29,2,27,10,0
Conceicao Da Barra,101,29.9,Colisão Frontal,Velocidade Incompatível,Reta,Simples,Pleno Dia,Chuva,5,47,2,35,26,9,10,0
Gameleira,101,159,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Plena Noite,Ceu Claro,3,33,0,22,22,0,10,1
Irajuba,116,594.5,Colisão Frontal,Falta De Atenção,Curva,Simples,Plena Noite,Ceu Claro,2,13,0,2,2,0,10,1
Leopoldina,116,781.5,Colisão Lateral,Velocidade Incompatível,Curva,Simples,Pleno Dia,Ceu Claro,6,21,0,11,3,8,10,0
Monsenhor Gil,316,71.8,Tombamento,Velocidade Incompatível,Curva,Simples,Plena Noite,Ceu Claro,2,23,1,12,10,2,10,0
Nova Xavantina,158,648,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,19,0,4,3,1,10,5
Salinas,251,3196,Tombamento,Velocidade Incompatível,Curva,Simples,Plena Noite,Céu Claro,1,34,0,24,6,18,10,0
Senhor Do Bonfim,407,129.3,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,22,3,9,4,5,10,0
Venturosa,424,32.4,Capotamento,Defeito Mecânico Em Veículo,Reta,Simples,Plena Noite,Nublado,1,26,0,16,16,0,10,0
Acailandia,222,6503,Colisão Transversal,Velocidade Incompatível,Curva,Simples,Pleno Dia,Céu Claro,2,10,0,1,1,0,9,0
Alagoinhas,110,322,Colisão Frontal,Outras,Curva,Simples,Amanhecer,Sol,2,32,2,21,20,1,9,0
Alfredo Wagner,282,109.8,Saída De Pista,Outras,Curva,Simples,Plena Noite,Nevoeiro/Neblina,1,40,0,31,10,21,9,0
Alvorada Do Gurgueia,135,283,Colisão Frontal,Falta De Atenção,Curva,Simples,Pleno Dia,Chuva,2,17,0,8,1,7,9,0
Ariquemes,364,506.3,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Chuva,2,9,0,0,0,0,9,0
Ariquemes,364,521.8,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Chuva,2,41,1,29,14,15,9,2
Bacabeira,135,28.8,Colisão Transversal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Nublado,2,15,0,6,3,3,9,0
Candeias,324,591,Colisão Traseira,Dormindo,Reta,Duplicada,Amanhecer,Ceu Claro,2,20,1,10,8,2,9,0
Ceara-Mirim,406,143.9,Colisão Transversal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,10,0,1,0,1,9,0
Fervedouro,116,648.6,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Ceu Claro,3,10,0,1,0,1,9,0
Guarapuava,277,334.4,Danos Eventuais,Defeito Mecânico Em Veículo,Reta,Simples,Plena Noite,Ceu Claro,4,25,2,14,11,3,9,0
Itaguai,101,407,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Chuva,2,13,0,4,4,0,9,0
Jaciara,364,275.9,Colisão Com Objeto Móvel,Outras,Curva,Simples,Pleno Dia,Chuva,2,17,0,8,8,0,9,0
Joao Monlevade,381,350.7,Tombamento,Velocidade Incompatível,Curva,Simples,Plena Noite,Ceu Claro,1,29,0,20,14,6,9,0
Lencois,242,333.5,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,36,1,26,5,21,9,0
Luz,262,508.6,Saída De Pista,Velocidade Incompatível,Reta,Simples,Anoitecer,Chuva,1,54,0,45,29,16,9,0
Mambore,369,4032,Colisão Com Objeto Fixo,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,38,0,29,6,23,9,0
Mucuri,101,953,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,5,23,6,8,3,5,9,0
Palmeira,376,536.5,Colisão Traseira,Outras,Reta,Duplicada,Plena Noite,Nublado,2,26,1,16,8,8,9,0
Periquito,381,186,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Pleno Dia,Chuva,2,17,0,8,7,1,9,0
Redencao Do Gurgueia,135,427,Tombamento,Defeito Na Via,Curva,Simples,Amanhecer,Céu Claro,1,32,6,17,7,10,9,0
Santarem,163,590,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Pleno Dia,Ceu Claro,3,13,0,3,2,1,9,1
Sao Desiderio,20,109,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Sol,2,59,3,47,12,35,9,0
Serra Talhada,232,446,Saída De Pista,Outras,Reta,Simples,Plena Noite,Ceu Claro,1,28,0,18,0,18,9,1
Alvorada Do Norte,20,1696,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Céu Claro,2,10,0,1,1,0,8,1
Aparecida,116,73.5,Tombamento,Outras,Reta,Duplicada,Pleno Dia,Ceu Claro,1,37,3,26,2,24,8,0
Bacabeira,135,38,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,3,10,0,1,1,0,8,1
Bandeirantes,369,52,Saída De Pista,Velocidade Incompatível,Curva,Simples,Plena Noite,Ceu Claro,1,46,2,36,3,33,8,0
Barbacena,40,6967,Colisão Transversal,Falta De Atenção À Condução,Reta,Simples,Plena Noite,Céu Claro,3,17,0,5,5,0,8,4
Caete,381,425,Tombamento,Outras,Curva,Simples,Plena Noite,Ceu Claro,3,11,0,3,2,1,8,0
Campos Dos Goytacazes,101,54,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,2,9,0,1,1,0,8,0
Candoi,373,4105,Colisão Frontal,Desobediência Às Normas De Trânsito Pelo Condutor,Não Informado,Simples,Plena Noite,Céu Claro,3,46,7,30,12,18,8,1
Francisco Sa,251,4742,Colisão Traseira,Velocidade Incompatível,Não Informado,Simples,Pleno Dia,Céu Claro,11,77,3,66,8,58,8,0
Ibirapitanga,101,402,Capotamento,Outras,Curva,Simples,Plena Noite,Ignorada,1,53,1,44,31,13,8,0
Iracema,174,404,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Pleno Dia,Chuva,2,22,0,5,4,1,8,9
Itabela,101,772,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Plena Noite,Ignorado,2,10,1,1,1,0,8,0
Lagoa Grande,40,113.2,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Chuva,3,8,0,0,0,0,8,0
Mairipora,381,69.5,Tombamento,Velocidade Incompatível,Curva,Duplicada,Pleno Dia,Sol,4,37,1,28,4,24,8,0
Miracatu,116,357.2,Colisão Lateral,Defeito Mecânico Em Veículo,Curva,Simples,Pleno Dia,Ceu Claro,3,60,2,50,5,45,8,0
Nova Alvorada Do Sul,267,230,Colisão Frontal,Animais Na Pista,Reta,Simples,Plena Noite,Ceu Claro,2,10,0,2,2,0,8,0
Panelas,104,115,Capotamento,Outras,Curva,Simples,Pleno Dia,Ceu Claro,1,8,0,0,0,0,8,0
Rosario Oeste,364,517.7,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Anoitecer,Chuva,4,21,0,13,10,3,8,0
Sao Felix Do Coribe,349,825,Colisão Frontal,Dormindo,Reta,Simples,Pleno Dia,Ceu Claro,2,9,1,0,0,0,8,0
Serra,101,249.5,Saída De Pista,Dormindo,Curva,Simples,Plena Noite,Ceu Claro,1,32,0,24,24,0,8,0
Tacaimbo,232,164,Colisão Frontal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,9,0,1,0,1,8,0
Tartarugalzinho,156,370,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,2,10,0,2,1,1,8,0
Abadiania,414,415.4,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,2,10,0,3,2,1,7,0
Abel Figueiredo,222,157,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Anoitecer,Ceu Claro,2,9,0,0,0,0,7,2
Agua Doce,153,6,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Anoitecer,Chuva,2,8,1,0,0,0,7,0
Altos,343,293.5,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Plena Noite,Chuva,3,16,4,5,4,1,7,0
Amarante,343,507,Colisão Lateral,Ultrapassagem Indevida,Reta,Simples,Amanhecer,Ceu Claro,3,10,1,1,1,0,7,1
Atalaia,316,220.2,Colisão Lateral,Falta De Atenção,Curva,Simples,Amanhecer,Nevoeiro/Neblina,2,31,1,23,5,18,7,0
Barreiras,20,67,Colisão Traseira,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,103,64,31,17,14,7,1
Barro Alto,80,108.3,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Chuva,2,8,1,0,0,0,7,0
Boa Vista Do Tupim,242,223.5,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Chuva,5,15,2,6,4,2,7,0
Branquinha,104,413,Colisão Frontal,Falta De Atenção À Condução,Curva,Simples,Pleno Dia,Céu Claro,2,8,0,1,1,0,7,0
Caceres,70,784,Saída De Pista,Animais Na Pista,Reta,Simples,Amanhecer,Ceu Claro,1,7,0,0,0,0,7,0
Cajazeiras,230,496,Colisão Frontal,Desobediência À Sinalização,Curva,Simples,Pleno Dia,Ceu Claro,2,9,0,2,2,0,7,0
Campo Mourao,158,2073,Tombamento,Velocidade Incompatível,Curva,Simples,Plena Noite,Nublado,1,43,2,34,7,27,7,0
Cangucu,392,122.4,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,3,14,5,2,2,0,7,0
Chapadinha,222,88.2,Colisão Lateral,Dormindo,Reta,Simples,Pleno Dia,Ceu Claro,2,11,1,3,1,2,7,0
Chorrocho,116,34.6,Colisão Traseira,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,11,1,3,0,3,7,0
Correntina,20,19.3,Colisão Frontal,Outras,Reta,Simples,Anoitecer,Ceu Claro,2,9,0,2,2,0,7,0
Eldorado,163,54.6,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Chuva,2,8,0,1,1,0,7,0
Guarani De Goias,20,243.8,Colisão Frontal,Defeito Mecânico Em Veículo,Reta,Simples,Pleno Dia,Sol,2,17,0,10,6,4,7,0
Guaratuba,376,674,Colisão Traseira,Defeito Mecânico Em Veículo,Reta,Duplicada,Pleno Dia,Chuva,7,14,3,4,1,3,7,0
Itambacuri,116,3186,Colisão Frontal,Ingestão De Álcool,Reta,Simples,Anoitecer,Nublado,3,8,0,1,0,1,7,0
Itaobim,116,112.1,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Plena Noite,Ceu Claro,2,10,1,2,2,0,7,0
Itapebi,101,662,Saída De Pista,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,2,36,2,27,1,26,7,0
Joao Camara,406,1087,Colisão Frontal,Falta De Atenção À Condução,Reta,Simples,Plena Noite,Céu Claro,2,7,0,0,0,0,7,0
Juatuba,262,370.5,Colisão Lateral,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,6,11,4,0,0,0,7,0
Junco Do Maranhao,316,33,Tombamento,Animais Na Pista,Reta,Simples,Plena Noite,Nevoeiro/Neblina,1,27,1,19,7,12,7,0
Montes Claros De Goias,70,395.4,Colisão Transversal,Velocidade Incompatível,Curva,Simples,Anoitecer,Sol,2,7,0,0,0,0,7,0
Morretes,277,39.8,Colisão Com Objeto Móvel,Outras,Reta,Duplicada,Plena Noite,Ceu Claro,7,18,3,8,1,7,7,0
Mucajai,174,452.8,Saída De Pista,Falta De Atenção,Reta,Simples,Amanhecer,Ceu Claro,1,27,0,20,11,9,7,0
Oliveira,381,605,Colisão Frontal,Dormindo,Curva,Duplicada,Plena Noite,Nublado,2,8,0,1,1,0,7,0
Ouricuri,316,87.4,Tombamento,Outras,Reta,Simples,Amanhecer,Ceu Claro,1,32,0,24,8,16,7,1
Palmeira,277,1754,Colisão Lateral,Ingestão De Álcool,Curva,Simples,Plena Noite,Chuva,2,8,0,1,1,0,7,0
Paulista,101,54.6,Atropelamento De Pessoa,Ingestão De Álcool,Reta,Duplicada,Plena Noite,Ceu Claro,1,10,0,3,1,2,7,0
Pedra,424,14.3,Colisão Frontal,Falta De Atenção,Reta,Simples,Pleno Dia,Ceu Claro,4,10,0,3,2,1,7,0
Pouso Novo,386,307.6,Colisão Traseira,Velocidade Incompatível,Curva,Simples,Pleno Dia,Nublado,5,12,1,4,0,4,7,0
Quixaba,230,324.7,Colisão Lateral,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,2,9,2,0,0,0,7,0
Quixaba,230,3288,Colisão Frontal,Velocidade Incompatível,Curva,Simples,Anoitecer,Chuva,2,8,0,1,1,0,7,0
Rancho Queimado,282,64.9,Saída De Pista,Outras,Curva,Simples,Plena Noite,Nublado,1,35,0,28,7,21,7,0
Riachao Do Jacuipe,324,415.5,Colisão Frontal,Outras,Reta,Simples,Amanhecer,Chuva,2,8,0,1,0,1,7,0
Rio Bonito,101,259,Colisão Frontal,Desobediência Às Normas De Trânsito Pelo Condutor,Reta,Duplicada,Amanhecer,Nublado,2,8,0,1,1,0,7,0
Rio Branco,364,93,Colisão Frontal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,3,11,1,3,1,2,7,0
Rio Grande,471,470.9,Colisão Frontal,Outras,Reta,Simples,Amanhecer,Vento,2,26,0,19,7,12,7,0
Rio Verde,452,25,Colisão Transversal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,7,0,0,0,0,7,0
Roque Gonzales,392,698.7,Colisão Frontal,Ingestão De Álcool,Reta,Simples,Plena Noite,Ceu Claro,2,7,0,0,0,0,7,0
Santa Maria,287,255.5,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Nublado,2,8,0,1,1,0,7,0
Santa Vitoria Do Palmar,471,6365,Colisão Frontal,Falta De Atenção À Condução,Reta,Simples,Pleno Dia,Céu Claro,2,9,0,2,2,0,7,0
Soledade,386,257.2,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Pleno Dia,Chuva,3,9,0,2,1,1,7,0
Sousa,230,456.2,Colisão Lateral,Dormindo,Reta,Simples,Plena Noite,Nublado,2,31,9,15,6,9,7,0
Taquaritinga Do Norte,104,22.8,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Sol,2,8,0,1,1,0,7,0
Teresina,316,54.4,Colisão Frontal,Desobediência À Sinalização,Reta,Simples,Pleno Dia,Sol,2,11,0,4,4,0,7,0
Tiangua,222,302.5,Tombamento,Defeito Mecânico Em Veículo,Curva,Simples,Plena Noite,Ceu Claro,1,53,0,46,7,39,7,0
Alagoinhas,110,346,Colisão Frontal,Desobediência Às Normas De Trânsito Pelo Condutor,Reta,Simples,Plena Noite,Céu Claro,2,9,2,1,0,1,6,0
Alianca,408,39,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,7,0,0,0,0,6,1
Almirante Tamandare Do Sul,386,160.9,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Nublado,2,7,1,0,0,0,6,0
Alvorada Do Norte,20,170.9,Colisão Lateral,Dormindo,Reta,Simples,Plena Noite,Nublado,2,18,5,7,2,5,6,0
Amarante,343,529.1,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,3,11,0,4,1,3,6,1
Angicos,304,175.6,Colisão Transversal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,7,0,1,0,1,6,0
Antonio Cardoso,116,4495,Colisão Lateral,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Céu Claro,3,9,2,0,0,0,6,1
Aquiraz,116,30.5,Colisão Traseira,Outras,Reta,Duplicada,Pleno Dia,Ceu Claro,8,19,6,7,4,3,6,0
Balsa Nova,277,125,Engavetamento,Falta De Atenção À Condução,Não Informado,Duplicada,Pleno Dia,Sol,7,13,4,3,1,2,6,0
Barreiras,242,757.5,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,7,0,0,0,0,6,1
Barreiras,242,807.2,Colisão Frontal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,7,0,1,0,1,6,0
Bela Vista Do Maranhao,316,289.6,Saída De Pista,Animais Na Pista,Reta,Simples,Pleno Dia,Chuva,1,30,1,4,2,2,6,19
Boa Vista,174,502,Colisão Frontal,Ingestão De Álcool,Reta,Simples,Plena Noite,Ceu Claro,2,7,0,1,0,1,6,0
Bom Jesus,135,370,Colisão Frontal,Ultrapassagem Indevida,Desvio Temporário,Simples,Pleno Dia,Céu Claro,2,12,0,6,3,3,6,0
Branquinha,104,49.3,Colisão Transversal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,2,19,0,13,12,1,6,0
Brasilia,70,7,Capotamento,Outras,Reta,Duplicada,Amanhecer,Ceu Claro,1,6,0,0,0,0,6,0
Brumadinho,381,5256,Tombamento,Velocidade Incompatível,Curva,Duplicada,Pleno Dia,Nublado,1,25,4,15,5,10,6,0
Bujari,364,181,Colisão Frontal,Outras,Reta,Simples,Anoitecer,Ceu Claro,3,14,5,3,2,1,6,0
Cachoeirinha,423,40.6,Atropelamento De Animal,Animais Na Pista,Reta,Simples,Plena Noite,Ceu Claro,2,7,1,0,0,0,6,0
Cascavel,277,565.7,Colisão Frontal,Outras,Reta,Simples,Amanhecer,Ceu Claro,2,34,1,27,6,21,6,0
Casimiro De Abreu,101,209,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,7,0,1,1,0,6,0
Catalao,50,235.7,Tombamento,Velocidade Incompatível,Curva,Simples,Plena Noite,Ceu Claro,2,9,0,3,3,0,6,0
Conceicao Da Barra,101,43.1,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Sol,4,9,3,0,0,0,6,0
Conceicao De Macabu,101,126.8,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Sol,3,14,0,8,7,1,6,0
Congonhas,40,604.2,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Chuva,4,14,0,8,7,1,6,0
Congonhas,40,604.8,Colisão Traseira,Defeito Mecânico Em Veículo,Reta,Simples,Pleno Dia,Ceu Claro,13,17,9,2,0,2,6,0
Coreau,222,272.4,Tombamento,Velocidade Incompatível,Curva,Simples,Plena Noite,Ceu Claro,1,13,0,7,7,0,6,0
Corinto,135,5824,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Amanhecer,Ceu Claro,2,15,0,9,3,6,6,0
Cristiano Otoni,40,647.5,Colisão Transversal,Falta De Atenção,Reta,Simples,Plena Noite,Ceu Claro,2,8,0,2,2,0,6,0
Darcinopolis,226,41.6,Colisão Transversal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Chuva,2,6,0,0,0,0,6,0
Engenheiro Caldas,116,460.1,Colisão Frontal,Outras,Reta,Simples,Plena Noite,Ceu Claro,2,8,0,2,1,1,6,0
Esperanca,104,96.1,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Chuva,2,13,0,7,7,0,6,0
Esplanada,101,44.9,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Chuva,2,11,0,5,5,0,6,0
Formosa,20,45,Colisão Frontal,Condutor Dormindo,Reta,Simples,Pleno Dia,Céu Claro,3,47,1,39,10,29,6,1
Frutal,153,183.3,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,6,0,0,0,0,6,0
General Carneiro,153,5194,Colisão Frontal,Velocidade Incompatível,Não Informado,Simples,Plena Noite,Chuva,2,8,2,0,0,0,6,0
Gilbues,135,530.6,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Ceu Claro,2,8,0,2,0,2,6,0
Governador Edison Lobao,10,229.5,Colisão Traseira,Falta De Atenção,Reta,Simples,Pleno Dia,Ignorada,2,7,1,0,0,0,6,0
Governador Valadares,116,4013,Colisão Frontal,Ingestão De Álcool,Reta,Simples,Plena Noite,Céu Claro,3,47,16,25,9,16,6,0
Grao Mogol,251,425,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Pleno Dia,Ceu Claro,2,7,1,0,0,0,6,0
Guaicara,153,173.5,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Ceu Claro,2,8,0,2,2,0,6,0
Ibirapitanga,101,422,Colisão Lateral,Outras,Curva,Simples,Amanhecer,Nublado,2,7,1,0,0,0,6,0
Imbituva,373,208,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,2,8,1,1,1,0,6,0
Itaguai,101,398,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Amanhecer,Ceu Claro,3,14,0,7,6,1,6,1
Itamaraju,101,816,Colisão Traseira,Outras,Reta,Simples,Amanhecer,Nevoeiro/Neblina,6,248,1,239,222,17,6,2
Itapebi,101,666.9,Colisão Traseira,Velocidade Incompatível,Curva,Simples,Pleno Dia,Chuva,2,7,0,1,0,1,6,0
Itapebi,101,670.8,Colisão Frontal,Dormindo,Reta,Simples,Pleno Dia,Ignorada,2,7,1,0,0,0,6,0
Itapecuru Mirim,135,109.8,Colisão Transversal,Outras,Reta,Simples,Pleno Dia,Nublado,2,8,2,0,0,0,6,0
Iuna,262,1841,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Pleno Dia,Sol,2,9,0,3,3,0,6,0
Jaguaquara,116,640.4,Colisão Frontal,Ultrapassagem Indevida,Curva,Simples,Amanhecer,Nublado,2,17,0,11,5,6,6,0
Jaguaribara,116,2765,Colisão Frontal,Desobediência À Sinalização,Curva,Simples,Pleno Dia,Ceu Claro,2,19,0,13,11,2,6,0
Jardim,60,621,Colisão Frontal,Outras,Reta,Simples,Pleno Dia,Ceu Claro,2,7,0,1,1,0,6,0
Jardim Do Serido,427,1964,Colisão Frontal,Outras,Curva,Simples,Pleno Dia,Ceu Claro,2,8,0,2,2,0,6,0
Juiz De Fora,40,7642,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Ceu Claro,2,48,0,39,11,28,6,3
Luis Eduardo Magalhaes,20,201,Colisão Frontal,Dormindo,Reta,Simples,Amanhecer,Ceu Claro,2,7,1,0,0,0,6,0
Luz,262,533.3,Colisão Frontal,Ultrapassagem Indevida,Reta,Simples,Plena Noite,Ceu Claro,4,53,4,43,12,31,6,0
Luz,262,546,Colisão Frontal,Outras,Curva,Simples,Plena Noite,Chuva,3,10,1,3,3,0,6,0
Luziania,40,27,Colisão Lateral,Desobediência Às Normas De Trânsito Pelo Condutor,Reta,Simples,Anoitecer,Ignorado,3,14,1,3,2,1,6,4
Luziania,40,33.5,Colisão Frontal,Ingestão De Álcool,Reta,Simples,Plena Noite,Ceu Claro,2,6,0,0,0,0,6,0
Muquem Do Sao Francisco,242,599,Saída De Pista,Velocidade Incompatível,Reta,Simples,Plena Noite,Ceu Claro,1,38,2,29,9,20,6,1
